R,G,B,IndexRGB,CPC
0.841121495,0.830769231,0.868131868,0.835752523,0.2266
0.831775701,0.8,0.857142857,0.824247946,0.2266
0.925233645,0.923076923,0.945054945,0.919613496,0.2266
0.91588785,0.938461538,0.956043956,0.913034376,0.2266
0.934579439,0.953846154,0.956043956,0.933448978,0.2266
0.85046729,0.815384615,0.868131868,0.851520098,0.2266
0.878504673,0.861538462,0.901098901,0.874455062,0.2266
0.897196262,0.861538462,0.901098901,0.89224356,0.2266
0.906542056,0.876923077,0.901098901,0.901722382,0.2266
0.925233645,0.907692308,0.934065934,0.924995043,0.2266
0.91588785,0.892307692,0.934065934,0.913302146,0.2266
0.878504673,0.892307692,0.912087912,0.879935104,0.2266
0.934579439,0.984615385,0.989010989,0.927148145,0.2266
0.925233645,0.938461538,0.956043956,0.921305534,0.2266
0.887850467,0.876923077,0.912087912,0.883811086,0.2266
0.887850467,0.907692308,0.923076923,0.888471616,0.2266
0.925233645,0.938461538,0.956043956,0.925380353,0.2266
0.953271028,0.969230769,0.967032967,0.954567969,0.2266
0.841121495,0.815384615,0.857142857,0.841762562,0.2266
0.878504673,0.846153846,0.89010989,0.875722989,0.2266
0.869158879,0.830769231,0.879120879,0.867497028,0.2266
0.859813084,0.830769231,0.879120879,0.854485463,0.2266
0.878504673,0.876923077,0.912087912,0.874524989,0.2266
0.878504673,0.923076923,0.923076923,0.878524196,0.2266
0.897196262,0.907692308,0.912087912,0.895465182,0.2266
0.906542056,0.938461538,0.956043956,0.906696874,0.2266
0.897196262,0.923076923,0.934065934,0.890919776,0.2266
0.934579439,0.953846154,0.967032967,0.933658902,0.2266
0.91588785,0.953846154,0.967032967,0.912127171,0.2266
0.925233645,0.969230769,0.978021978,0.923018465,0.2266
0.897196262,0.953846154,0.945054945,0.890989988,0.2266
0.91588785,0.953846154,0.956043956,0.911763322,0.2266
0.822429907,0.769230769,0.835164835,0.818081424,0.2266
0.859813084,0.830769231,0.868131868,0.851968797,0.2266
0.831775701,0.815384615,0.857142857,0.825635545,0.2266
0.822429907,0.815384615,0.857142857,0.823154695,0.2266
0.859813084,0.846153846,0.901098901,0.85554432,0.2266
0.644859813,0.738461538,0.769230769,0.644051965,0.2266
0.813084112,0.8,0.846153846,0.813554779,0.2266
0.785046729,0.753846154,0.824175824,0.783678978,0.2266
0.785046729,0.707692308,0.791208791,0.785674886,0.2266
0.841121495,0.784615385,0.846153846,0.835346747,0.2266
0.813084112,0.861538462,0.879120879,0.814713551,0.2266
0.785046729,0.846153846,0.857142857,0.786246952,0.2266
0.785046729,0.8,0.835164835,0.783487531,0.2266
0.822429907,0.815384615,0.846153846,0.816595046,0.2266
0.859813084,0.861538462,0.901098901,0.856127756,0.2266
0.831775701,0.8,0.857142857,0.825240286,0.2266
0.803738318,0.784615385,0.835164835,0.801381345,0.2266
0.803738318,0.8,0.846153846,0.802929549,0.2266
