Abs,H,S,L,IndexHSL,Day,CPC
0.5121,0.8,0.142857143,0.848484848,0.808994626,0,0.2266
0.5121,0.771428571,0.142857143,0.818181818,0.766008024,0,0.2266
0.5121,0.8,0.142857143,0.939393939,0.801430748,0,0.2266
0.5121,0.771428571,0.178571429,0.939393939,0.766010814,0,0.2266
0.5121,0.657142857,0.142857143,0.96969697,0.675121508,0,0.2266
0.5121,0.8,0.107142857,0.848484848,0.799455378,0,0.2266
0.5121,0.771428571,0.142857143,0.878787879,0.778739112,0,0.2266
0.5121,0.742857143,0.107142857,0.909090909,0.743467052,0,0.2266
0.5121,0.714285714,0.107142857,0.909090909,0.733978025,0,0.2266
0.5121,0.742857143,0.107142857,0.939393939,0.74537546,0,0.2266
0.5121,0.828571429,0.107142857,0.909090909,0.824658077,0,0.2266
0.5121,0.742857143,0.142857143,0.909090909,0.764275391,0,0.2266
0.5121,0.8,0.214285714,0.96969697,0.818193486,0,0.2266
0.5121,0.771428571,0.142857143,0.939393939,0.78788496,0,0.2266
0.5121,0.771428571,0.142857143,0.909090909,0.775363128,0,0.2266
0.5121,0.742857143,0.178571429,0.909090909,0.749753079,0,0.2266
0.5121,0.742857143,0.142857143,0.939393939,0.749979074,0,0.2266
0.5121,0.685714286,0.142857143,0.96969697,0.702425128,0,0.2266
0.5121,0.771428571,0.107142857,0.848484848,0.771828109,0,0.2266
0.5121,0.771428571,0.107142857,0.878787879,0.788632698,0,0.2266
0.5121,0.742857143,0.107142857,0.878787879,0.742111078,0,0.2266
0.5121,0.771428571,0.142857143,0.848484848,0.7842774,0,0.2266
0.5121,0.8,0.142857143,0.878787879,0.798688109,0,0.2266
0.5121,0.714285714,0.214285714,0.909090909,0.726266273,0,0.2266
0.5121,0.685714286,0.142857143,0.909090909,0.68285,0,0.2266
0.5121,0.8,0.178571429,0.939393939,0.807870228,0,0.2266
0.5121,0.8,0.178571429,0.909090909,0.795245163,0,0.2266
0.5121,0.8,0.142857143,0.96969697,0.796115665,0,0.2266
0.5121,0.8,0.214285714,0.939393939,0.820266507,0,0.2266
0.5121,0.8,0.178571429,0.96969697,0.803785566,0,0.2266
0.5121,0.685714286,0.214285714,0.939393939,0.7004944,0,0.2266
0.5121,0.742857143,0.178571429,0.939393939,0.737563265,0,0.2266
0.5121,0.8,0.107142857,0.818181818,0.796241218,0,0.2266
0.5121,0.714285714,0.142857143,0.848484848,0.734862477,0,0.2266
0.5121,0.771428571,0.142857143,0.848484848,0.785987713,0,0.2266
0.5121,0.771428571,0.178571429,0.848484848,0.771789048,0,0.2266
0.5121,0.857142857,0.142857143,0.878787879,0.856975453,0,0.2266
0.5121,0.771428571,0.357142857,0.696969697,0.779101821,0,0.2266
0.5121,0.771428571,0.178571429,0.818181818,0.776794433,0,0.2266
0.5121,0.8,0.142857143,0.787878788,0.804145485,0,0.2266
0.5121,0.771428571,0.107142857,0.787878788,0.765505812,0,0.2266
0.5121,0.714285714,0.107142857,0.848484848,0.733936174,0,0.2266
0.5121,0.742857143,0.25,0.848484848,0.75543087,0,0.2266
0.5121,0.742857143,0.25,0.818181818,0.757088172,0,0.2266
0.5121,0.742857143,0.214285714,0.787878788,0.75260174,0,0.2266
0.5121,0.714285714,0.178571429,0.818181818,0.731129364,0,0.2266
0.5121,0.8,0.178571429,0.878787879,0.811036957,0,0.2266
0.5121,0.771428571,0.142857143,0.818181818,0.785775667,0,0.2266
0.5121,0.742857143,0.142857143,0.818181818,0.756717093,0,0.2266
0.5121,0.771428571,0.178571429,0.818181818,0.788331371,0,0.2266
